"","quad","year","NRquad","totParea","recArea","quadname","Grazing","Group"
"1","q21",34,0,175.35134,0,"e1q4-1","No","lb1"
"2","q21",52,0,1899.2692561,0,"e1q4-1","No","lb1"
"3","q21",44,0,1099.87198,0,"e1q4-1","No","lb1"
"4","q21",63,1,1046.256585,0.000955788488537924,"e1q4-1","No","lb1"
"5","q21",64,3,1535.099666,0.00195427050532626,"e1q4-1","No","lb1"
"6","q21",38,0,215.09631,0,"e1q4-1","No","lb1"
"7","q21",35,1,37.41272,0.0267288772374743,"e1q4-1","No","lb1"
"8","q21",42,2,1008.734848,0.00198268157778564,"e1q4-1","No","lb1"
"9","q21",65,1,1605.269469,0.000622948370545506,"e1q4-1","No","lb1"
"10","q21",39,15,199.224,0.0752921334778942,"e1q4-1","No","lb1"
"11","q21",36,1,70.02197,0.0142812320190363,"e1q4-1","No","lb1"
"12","q21",46,0,1214.131076,0,"e1q4-1","No","lb1"
"13","q21",66,1,534.651515,0.00187037719326391,"e1q4-1","No","lb1"
"14","q21",37,0,133.26621,0,"e1q4-1","No","lb1"
"15","q21",55,1,1260.5187942,0.000793324149232269,"e1q4-1","No","lb1"
"16","q21",50,6,1779.762199,0.00337123690084621,"e1q4-1","No","lb1"
"17","q21",47,5,1558.894007,0.00320740215662398,"e1q4-1","No","lb1"
"18","q21",41,0,203.678818,0,"e1q4-1","No","lb1"
"19","q21",59,2,1944.813827,0.0010283760698499,"e1q4-1","No","lb1"
"20","q21",57,0,711.666415,0,"e1q4-1","No","lb1"
"21","q21",45,3,711.675505,0.00421540432250791,"e1q4-1","No","lb1"
"22","q21",48,0,1519.593863,0,"e1q4-1","No","lb1"
"23","q21",49,1,1466.145758,0.000682060425809314,"e1q4-1","No","lb1"
"24","q21",40,1,129.680937,0.007711233610226,"e1q4-1","No","lb1"
"25","q21",43,1,835.208913,0.00119730523038611,"e1q4-1","No","lb1"
"26","q21",61,0,2073.37246,0,"e1q4-1","No","lb1"
"27","q21",67,1,725.90583,0.00137758915643369,"e1q4-1","No","lb1"
"28","q21",53,4,1652.928241,0.00241994776347947,"e1q4-1","No","lb1"
"29","q21",56,0,914.4428747,0,"e1q4-1","No","lb1"
"30","q21",62,0,2076.2423,0,"e1q4-1","No","lb1"
"31","q21",60,1,1315.029111,0.000760439439427741,"e1q4-1","No","lb1"
"32","q21",58,1,908.467233,0.00110075516614698,"e1q4-1","No","lb1"
"33","q21",54,0,1369.552863,0,"e1q4-1","No","lb1"
"34","q21",51,4,1436.4487862,0.00278464504855871,"e1q4-1","No","lb1"
"35","q22",55,0,368.99885,0,"e1q4-2","No","lb1"
"36","q22",64,0,211.331475,0,"e1q4-2","No","lb1"
"37","q22",40,0,125.663192,0,"e1q4-2","No","lb1"
"38","q22",45,1,250.072094,0.00399884682854697,"e1q4-2","No","lb1"
"39","q22",65,0,138.141494,0,"e1q4-2","No","lb1"
"40","q22",60,1,99.918975,0.0100081090703743,"e1q4-2","No","lb1"
"41","q22",39,0,69.791663,0,"e1q4-2","No","lb1"
"42","q22",34,0,17.865009,0,"e1q4-2","No","lb1"
"43","q22",58,0,88.567453,0,"e1q4-2","No","lb1"
"44","q22",61,1,467.09205,0.00214090563091365,"e1q4-2","No","lb1"
"45","q22",41,1,123.6089,0.00809003235203938,"e1q4-2","No","lb1"
"46","q22",38,2,105.88011,0.0188892890269948,"e1q4-2","No","lb1"
"47","q22",70,0,144.195093,0,"e1q4-2","No","lb1"
"48","q22",47,2,520.75271,0.00384059451174052,"e1q4-2","No","lb1"
"49","q22",42,12,279.82496,0.0428839514530798,"e1q4-2","No","lb1"
"50","q22",66,0,90.506801,0,"e1q4-2","No","lb1"
"51","q22",57,1,116.854648,0.00855763991518763,"e1q4-2","No","lb1"
"52","q22",36,0,16.310039,0,"e1q4-2","No","lb1"
"53","q22",46,0,309.974675,0,"e1q4-2","No","lb1"
"54","q22",67,4,41.5957,0.0961637861605887,"e1q4-2","No","lb1"
"55","q22",37,1,43.47591,0.0230012436772456,"e1q4-2","No","lb1"
"56","q22",56,2,55.116751,0.0362866091290468,"e1q4-2","No","lb1"
"57","q22",44,0,358.922477,0,"e1q4-2","No","lb1"
"58","q22",43,1,266.9634127,0.00374583164743908,"e1q4-2","No","lb1"
"59","q22",59,4,162.860286,0.0245609294828329,"e1q4-2","No","lb1"
"60","q22",48,4,421.137764,0.00949807958803713,"e1q4-2","No","lb1"
"61","q22",53,4,542.690268,0.00737068680951544,"e1q4-2","No","lb1"
"62","q22",52,4,581.59859,0.00687759576583568,"e1q4-2","No","lb1"
"63","q22",51,1,421.848348,0.00237052012824286,"e1q4-2","No","lb1"
"64","q22",49,0,537.953615,0,"e1q4-2","No","lb1"
"65","q22",50,0,342.637093,0,"e1q4-2","No","lb1"
"66","q22",54,1,349.124296,0.00286430939197655,"e1q4-2","No","lb1"
"67","q23",57,2,112.68278,0.0177489408763256,"e1q4a-1","No","lb1"
"68","q23",40,1,129.395177,0.00772826331850066,"e1q4a-1","No","lb1"
"69","q23",37,0,118.33551,0,"e1q4a-1","No","lb1"
"70","q23",60,1,110.43559,0.00905505190853782,"e1q4a-1","No","lb1"
"71","q23",42,6,581.54451,0.0103173530088007,"e1q4a-1","No","lb1"
"72","q23",53,1,849.982789,0.00117649441017093,"e1q4a-1","No","lb1"
"73","q23",41,3,96.193346,0.0311871883529241,"e1q4a-1","No","lb1"
"74","q23",45,1,362.282744,0.00276027499670258,"e1q4a-1","No","lb1"
"75","q23",44,2,566.551878,0.00353012685627352,"e1q4a-1","No","lb1"
"76","q23",61,1,338.97554,0.00295006536459828,"e1q4a-1","No","lb1"
"77","q23",39,2,235.375276,0.00849706916541226,"e1q4a-1","No","lb1"
"78","q23",65,0,404.019646,0,"e1q4a-1","No","lb1"
"79","q23",70,0,190.521632,0,"e1q4a-1","No","lb1"
"80","q23",52,1,1314.08618,0.000760985097644053,"e1q4a-1","No","lb1"
"81","q23",46,1,404.434042,0.00247259106838489,"e1q4a-1","No","lb1"
"82","q23",49,2,682.40411,0.00293081470450112,"e1q4a-1","No","lb1"
"83","q23",58,2,102.149329,0.0195791790272063,"e1q4a-1","No","lb1"
"84","q23",35,1,91.074008,0.0109800811665168,"e1q4a-1","No","lb1"
"85","q23",50,11,828.48247,0.013277287568921,"e1q4a-1","No","lb1"
"86","q23",47,2,780.35722,0.00256292880842443,"e1q4a-1","No","lb1"
"87","q23",38,0,204.81618,0,"e1q4a-1","No","lb1"
"88","q23",71,10,113.3483,0.0882236434070912,"e1q4a-1","No","lb1"
"89","q23",43,1,541.936769,0.00184523371950797,"e1q4a-1","No","lb1"
"90","q23",51,1,1006.5176777,0.000993524527343729,"e1q4a-1","No","lb1"
"91","q23",48,0,776.683825,0,"e1q4a-1","No","lb1"
"92","q23",59,0,364.23557,0,"e1q4a-1","No","lb1"
"93","q23",55,1,174.30702,0.00573700359285587,"e1q4a-1","No","lb1"
"94","q23",36,0,129.30185,0,"e1q4a-1","No","lb1"
"95","q23",66,0,126.259277,0,"e1q4a-1","No","lb1"
"96","q23",56,0,152.602889,0,"e1q4a-1","No","lb1"
"97","q23",34,3,154.121561,0.0194651545217609,"e1q4a-1","No","lb1"
"98","q23",54,0,649.5294354,0,"e1q4a-1","No","lb1"
"99","q23",67,1,180.54254,0.00553886081363428,"e1q4a-1","No","lb1"
"100","q23",64,4,305.66812,0.0130860882711615,"e1q4a-1","No","lb1"
"101","q24",52,2,519.778151,0.0038477954414825,"e1q4a-2","No","lb1"
"102","q24",49,1,146.079266,0.00684559847117523,"e1q4a-2","No","lb1"
"103","q24",50,8,117.981804,0.0678070662489616,"e1q4a-2","No","lb1"
"104","q24",57,1,788.733426,0.00126785548454745,"e1q4a-2","No","lb1"
"105","q24",55,1,701.993513,0.00142451458807141,"e1q4a-2","No","lb1"
"106","q24",53,4,447.157483,0.00894539430082623,"e1q4a-2","No","lb1"
"107","q24",56,1,596.652561,0.00167601727599054,"e1q4a-2","No","lb1"
"108","q24",61,2,1590.19434,0.00125770791009104,"e1q4a-2","No","lb1"
"109","q24",48,0,100.390893,0,"e1q4a-2","No","lb1"
"110","q24",34,0,16.86884,0,"e1q4a-2","No","lb1"
"111","q24",65,4,500.273746,0.00799562246066776,"e1q4a-2","No","lb1"
"112","q24",43,0,4.259752,0,"e1q4a-2","No","lb1"
"113","q24",66,0,128.4647844,0,"e1q4a-2","No","lb1"
"114","q24",45,1,21.67915,0.0461272697499671,"e1q4a-2","No","lb1"
"115","q24",58,4,712.998277,0.00561011173383242,"e1q4a-2","No","lb1"
"116","q24",64,12,308.38481,0.0389124224374086,"e1q4a-2","No","lb1"
"117","q24",70,0,116.585239,0,"e1q4a-2","No","lb1"
"118","q24",60,1,710.688768,0.00140708569633677,"e1q4a-2","No","lb1"
"119","q24",59,0,1284.7964684,0,"e1q4a-2","No","lb1"
"120","q24",67,0,60.004063,0,"e1q4a-2","No","lb1"
"121","q24",51,6,262.7228407,0.0228377554993451,"e1q4a-2","No","lb1"
"122","q24",46,0,43.52165,0,"e1q4a-2","No","lb1"
"123","q24",47,1,101.84876,0.00981847987152715,"e1q4a-2","No","lb1"
"124","q24",54,2,492.028254,0.00406480722141619,"e1q4a-2","No","lb1"
"125","q25",52,0,11.85309,0,"e1q5-1","No","bb1"
"126","q25",34,0,207.65642,0,"e1q5-1","No","bb1"
"127","q25",47,0,103.98472,0,"e1q5-1","No","bb1"
"128","q25",44,0,110.39794,0,"e1q5-1","No","bb1"
"129","q25",42,3,51.83867,0.0578718551228263,"e1q5-1","No","bb1"
"130","q25",48,0,175.75555,0,"e1q5-1","No","bb1"
"131","q25",49,0,64.352768,0,"e1q5-1","No","bb1"
"132","q25",50,0,30.13538,0,"e1q5-1","No","bb1"
"133","q25",43,0,114.8642001,0,"e1q5-1","No","bb1"
"134","q25",46,2,76.04044,0.0263017941505862,"e1q5-1","No","bb1"
"135","q25",45,0,63.80943,0,"e1q5-1","No","bb1"
"136","q31",35,0,49.598819,0,"e2q2-3","No","lb2"
"137","q31",37,0,124.292609,0,"e2q2-3","No","lb2"
"138","q31",38,0,137.53081,0,"e2q2-3","No","lb2"
"139","q31",39,0,98.8225,0,"e2q2-3","No","lb2"
"140","q32",49,0,1.316631,0,"e2q2-4","No","lb2"
"141","q32",39,0,34.61007,0,"e2q2-4","No","lb2"
"142","q32",37,0,60.705356,0,"e2q2-4","No","lb2"
"143","q32",34,0,341.395848,0,"e2q2-4","No","lb2"
"144","q32",35,0,50.21571,0,"e2q2-4","No","lb2"
